,Section,Title,Num_Units,CR/NC,Typically Offered,Prerequisites,Description
50,CSC 424, Software Security,4,0,SP,CPE/CSC 307 or CPE/CSC 309; CPE/CSC 321.,"Principles behind secure software design including threat models, trust management, common vulnerabilities and mitigation techniques, robust software development, isolation of untrusted code, auditability, and testing.  3 lectures, 1 laboratory."
51,CSC 429, Current Topics in Computer Security,4,0,SP,CPE/CSC 321 and CPE/CSC 357.,"Selected topics in emerging areas of computer security.  Potential topics include:  network and web security, critical infrastructure protection, embedded systems security, malware analysis, mobile security, and digital forensics, among others.  The Schedule of Classes will list topic selected.  Total credit limited to 8 units.  3 lectures, 1 laboratory."
52,CSC 430, Programming Languages I,4,0,"F, W, SP",CSC 349 and CSC/CPE 357.,"Construction of the front end of a compiler including lexical analysis, syntactic analysis, type checking, and formal semantics.  Introduction to regular languages, finite automata, and context-free grammars.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 430."
53,CSC 431, Programming Languages II,4,0,SP,CSC/CPE 430.,"Language principles and design issues:  bindings, conversion, parameter passing, and dynamic semantics.  Language implementation:  intermediate code representation, memory management, code optimization, and code generation.  Functional programming languages.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 431."
54,CSC 435, Introduction to Object Oriented Design Using Graphical User Interfaces,4,0,TBD,CPE/CSC 305.,"Principles of object-oriented design, with emphasis on use of these principles in the design of graphical interfaces.  Comparison and contrasting of two major object-oriented languages and their corresponding GUI class libraries.  Language-independent object-oriented design methods, and application of these methods in the construction of a GUI-based project.  Course may be offered in classroom-based or online format.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 435."
55,CSC 436, Mobile Application Development,4,0,TBD,CSC/CPE 357.,"Inception, development, testing, and deployment of mobile applications.  Introduction to tools, libraries, and frameworks for one or more mobile platforms and devices.  Emphasis on software engineering best practices for developing entrepreneurial or humanitarian mobile-centric applications.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 436."
56,CSC 437, Dynamic Web Development,4,0,TBD,CPE/CSC 357 with a grade of C- or better and CPE/CSC 365 with a grade of C- or better; or consent of instructor.,"Project-based study of web-based three-tiered applications, including current best practices and tools for design, implementation and testing of browser interface, serverside business logic, object-relational mapping, databases, and web services.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 437."
57,CSC 445, Theory of Computation I,4,0,"F, W, SP",CSC 141 or CSC 348.,Theory of formal languages and automata.  Turing machines.  Chomsky hierarchy.  Theory of decidability and computability.  4 lectures.
58,CSC 448, Bioinformatics Algorithms,4,0,TBD,CPE/CSC 349.,"Introduction to the use of computers to solve problems in molecular biology.  The algorithms, languages, and databases important in determining and analyzing nucleic and protein sequences and their structure.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 448."
59,CSC 450, Computing for Interactive Arts Capstone II,2,0,SP,ART/CSC 350.,"Team-based design, construction and deployment of a collaborative interactive computational art project typically found in the fields of animation, game design, and interactive media.  Management of inter-disciplinary teams, documentation, creative development, testing, and assessment.  2 laboratories.  Crosslisted as ART/CSC 450."
60,CSC 453, Introduction to Operating Systems,4,0,"F, W, SP","CSC/CPE 357, and CSC/CPE 225 or CPE/EE 229 or CPE/EE 233.","Introduction to sequential and multiprogramming operating systems; kernel calls, interrupt service mechanisms, scheduling, files and protection mechanisms, conventional machine attributes that apply to operating system implementation, virtual memory management, and I/O control systems.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 453."
61,CSC 454, Implementation of Operating Systems,4,0,TBD,CSC/CPE 453.,"Design and implementation of multiprogramming kernels, systems programming methodology, interprocess communications, synchronization, device drivers and network access methods.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 454."
62,CSC 458, Current Topics in Computer Systems,4,0,TBD,CSC/CPE 357.,"Selected aspects of design, implementation and analysis of networks, advanced operating and distributed systems.  Topics may include process management, virtual memory, process communication, context switching, file system designs, persistent objects, process and data migration, load balancing, security and networks.  The Schedule of Classes will list topic selected.  Total credit limited to 8 units.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 458."
63,CSC 464, Introduction to Computer Networks,4,0,"F, W, SP",CSC/CPE 357. Recommended: STAT 312 or STAT 321 or STAT 350.,"Computer network architectures; communications protocol standards; services provided by the network; historical and current examples presented.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 464."
64,CSC 465, Advanced Computer Networks,4,0,TBD,CSC/CPE 464 and CSC/CPE 453.,"Advanced topics in computer networks; greater detail of protocol standards and services provided by the network; focus on current industry and research topics.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 465."
65,CSC 466, Knowledge Discovery from Data,4,0,TBD,"CPE/CSC 349 and one of the following: STAT 302, STAT 312, STAT 321 or STAT 350.","Overview of modern knowledge discovery from data (KDD) methods and technologies.  Topics in data mining (association rules mining, classification, clustering), information retrieval, web mining.  Emphasis on use of KDD techniques in modern software applications.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 466."
66,CSC 468, Database Management Systems Implementation,4,0,TBD,CSC/CPE 365.,"Data structures and algorithms used in the implementation of database systems.  Implementation of data and transaction managers:  access methods interfaces, concurrency control and recovery, query processors and optimizers.  Introduction to implementation of distributed database systems.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 468."
67,CSC 471, Introduction to Computer Graphics,4,0,TBD,CPE/CSC 103.,"Graphics software development and use of application programming interfaces for 3D graphics.  The graphics pipeline, modeling, geometric and viewing transforms, lighting and shading, rendering, interaction techniques and graphics hardware.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 471."
68,CSC 473, Advanced Rendering Techniques,4,0,TBD,CSC/CPE 471.,"Illumination models, reflectance, absorption, emittance, Gouraud shading, Phong shading, raytracing polyhedra and other modeling primitives, coherence, acceleration methods, radiosity, form factors, advanced algorithms.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 473."
69,CSC 474, Computer Animation,4,0,TBD,CSC/CPE 471.,"Basic and advanced algorithms for generating sequences of synthetic images.  Interpolation in time and space, procedural and keyframe animation, particle systems, dynamics and inverse kinematics, morphing and video.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 474."
70,CSC 476, Real-Time 3D Computer Graphics Software,4,0,TBD,CSC/CPE 471.,"Basic and advanced algorithms for real-time, interactive, 3D graphics software.  Modeling (polygon mesh, height field, scene graph), real-time rendering and shading (visibility processing, LOD, texture and light maps), collision detection (bounding volumes, complexity management), interactive controls, multi-player game technology, game engine architecture.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 476."
71,CSC 477, Scientific and Information Visualization,4,0,F,CPE/CSC 349.,"Basic data processing (magnitude, grouping and segmentation), visualization design, cognition and perception, spatial data visualizations (2D and 3D, e.g.  GIS data, medical data) information data visualization, spatial encoding, color encoding, and interaction.  3 lectures, 1 laboratory."
72,CSC 478, Current Topics in Computer Graphics,4,0,TBD,CSC/CPE 471.,"Selected aspects of the design, implementation and analysis of computer graphics.  Topics may include rendering, modeling, visualization, animation, virtual reality, computer vision, multimedia, and perception issues.  The Schedule of Classes will list topic selected.  Total credit limited to 8 units.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 478."
73,CSC 479, Computer Graphics Seminar,2,0,TBD,CSC/CPE 471.,Current topics in computer graphics.  Total credit limited to 4 units.  2 seminars.
74,CSC 480, Artificial Intelligence,4,0,TBD,CSC/CPE 103 with a grade of C- or better.,"Programs and techniques that characterize artificial intelligence.  Programming in a high level language.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 480."
75,CSC 481, Knowledge Based Systems,4,0,TBD,CSC/CPE 480.,"In-depth treatment of knowledge representation, utilization and acquisition in a programming environment.  Emphasis on the use of domain-specific knowledge to obtain expert performance in programs.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 481."
76,CSC 483, Current Topics in Human-Computer Interaction,4,0,TBD,CSC/CPE 484.,"Selected aspects of the field of human-computer interaction.  Topics may include dynamic information visualization, universal access, social impact of technology usage, educational technology, human cognition and performance studies, and extended usability evaluation techniques.  The Schedule of Classes will list topic selected.  Total credit limited to 8 units.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 483."
77,CSC 484, User-Centered Interface Design and Development,4,0,W,Junior standing and CSC/CPE 307 or CSC/CPE 308.,"Introduction to the importance of user-centered principles in the design of good interfaces and effective human-computer interaction.  Topics include:  study of human characteristics affected by interface design, effective requirements data collection and analysis, user-centered approaches to software engineering, and evaluation of interface and interaction quality.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 484."
78,CSC 485, Autonomous Robot Navigation,4,0,TBD,CSC/CPE 357 or consent of instructor.,"Overview of existing autonomous mobile robot systems, basic kinematic modeling, control structures, sensing and sensor modeling, localization, and motion planning algorithms.  Implementation of autonomous navigation capabilities.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 485."
79,CSC 486, Human-Computer Interaction Theory and Design,4,0,TBDCorequisite: CSC/CPE 484.,,"Application of the theories of human-computer interaction to the task of user-centered design.  Survey of techniques for studying and involving users in different aspects of the design process, and demonstration of where and when applicable.  Combining of theoretical understanding with practical experience to design solutions to problems facing interactive systems designers.  3 lectures, 1 laboratory.  Crosslisted as CSC/CPE 486."
80,CSC 489, Current Topics in Artificial Intelligence,4,0,TBD,CSC/CPE 480.,"Selected aspects of the design, implementation and analysis of advanced systems and concepts in the area of artificial intelligence.  Topics may include knowledge representation, reasoning, learning, or planning, and specific techniques like intelligent agents, genetic algorithms, semantic web, or robotics.  The Schedule of Classes will list topic selected.  Total credit limited to 8 units.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 489."
81,CSC 490, Selected Advanced Topics,1,0,TBD,Consent of instructor.,Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  Class schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.
82,CSC 491, Senior Project Lab I,2,0,"F, W, SP",CSC/CPE 307 or CSC/CPE 309 and consent of instructor.,"Selection and completion of a project by individuals or team which is typical of problems which graduates must solve in their fields of employment.  Project may include students from other disciplines.  Formulation of outline, literature review, and project schedule.  2 laboratories."
83,CSC 492, Senior Project Lab II,2,0,"F, W, SP",CSC 491 and consent of instructor.,Selection and completion of a project by individuals or team which is typical of problems which graduates must solve in their fields of employment.  Project may include students from other disciplines.  Project results are presented in a formal report.  2 laboratories.
84,CSC 493, Cooperative Education Experience,2,1,,Sophomore standing and consent of instructor.,"Part-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 6 units."
85,CSC 494, Cooperative Education Experience,6,1,,Sophomore standing and consent of instructor.,"Full-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 18 units."
86,CSC 495, Cooperative Education Experience,1,1,,Sophomore standing and consent of instructor.,"Full-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  A more fully developed formal report and evaluation by work supervisor required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 24 units."
87,CSC 496, Selected Advanced Laboratory,1,0,TBD,Consent of instructor.,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1 to 4 laboratories.
